{'price': '100', 'systime': '10:30:00', 'code': 'A', 'number': '0', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:00', 'code': 'A', 'number': '0', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:01', 'code': 'A', 'number': '2', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:01', 'code': 'A', 'number': '2', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:02', 'code': 'A', 'number': '12', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:02', 'code': 'A', 'number': '12', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:03', 'code': 'A', 'number': '133', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:03', 'code': 'A', 'number': '133', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:04', 'code': 'A', 'number': '695', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:04', 'code': 'A', 'number': '695', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:05', 'code': 'A', 'number': '1350', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:05', 'code': 'A', 'number': '1350', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:06', 'code': 'A', 'number': '2209', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:06', 'code': 'A', 'number': '2209', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:07', 'code': 'A', 'number': '3009', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:07', 'code': 'A', 'number': '3009', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:08', 'code': 'A', 'number': '4186', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:08', 'code': 'A', 'number': '4186', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:09', 'code': 'A', 'number': '5800', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:09', 'code': 'A', 'number': '5800', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:10', 'code': 'A', 'number': '7313', 'ltime': '无', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:11', 'code': 'A', 'number': '9154', 'ltime': '10:30:05', 'bidinfo': '上半场'}
{'price': '100', 'systime': '10:30:11', 'code': 'A', 'number': '9154', 'ltime': '10:30:05', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:12', 'code': 'A', 'number': '10851', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:12', 'code': 'A', 'number': '10851', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:13', 'code': 'A', 'number': '11940', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:13', 'code': 'A', 'number': '11940', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:14', 'code': 'A', 'number': '13188', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:14', 'code': 'A', 'number': '13188', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:15', 'code': 'A', 'number': '14161', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:15', 'code': 'A', 'number': '14161', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:16', 'code': 'A', 'number': '15382', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:16', 'code': 'A', 'number': '15382', 'ltime': '10:30:12', 'bidinfo': '上半场'}
{'price': '72600', 'systime': '10:30:17', 'code': 'A', 'number': '16031', 'ltime': '10:30:12', 'bidinfo': '上半场'}
