{'systime': '10:30:00', 'ltime': '无', 'code': 'A', 'number': '0', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:00', 'ltime': '无', 'code': 'A', 'number': '0', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:01', 'ltime': '无', 'code': 'A', 'number': '0', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:01', 'ltime': '无', 'code': 'A', 'number': '0', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:02', 'ltime': '无', 'code': 'A', 'number': '12', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:02', 'ltime': '无', 'code': 'A', 'number': '12', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:03', 'ltime': '无', 'code': 'A', 'number': '35', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:03', 'ltime': '无', 'code': 'A', 'number': '35', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:04', 'ltime': '无', 'code': 'A', 'number': '93', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:04', 'ltime': '无', 'code': 'A', 'number': '93', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:05', 'ltime': '无', 'code': 'A', 'number': '236', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:05', 'ltime': '无', 'code': 'A', 'number': '236', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:06', 'ltime': '无', 'code': 'A', 'number': '596', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:06', 'ltime': '无', 'code': 'A', 'number': '596', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:07', 'ltime': '无', 'code': 'A', 'number': '1190', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:07', 'ltime': '无', 'code': 'A', 'number': '1190', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:08', 'ltime': '无', 'code': 'A', 'number': '2082', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:08', 'ltime': '无', 'code': 'A', 'number': '2082', 'price': '100', 'bidinfo': '上半场'}
{'systime': '10:30:09', 'ltime': '无', 'code': 'A', 'number': '2990', 'price': '100', 'bidinfo': '上半场'}
