{'price': '100', 'code': 'A', 'systime': '10:30:00', 'bidinfo': '上半场', 'ltime': '无', 'number': '0'}
{'price': '100', 'code': 'A', 'systime': '10:30:00', 'bidinfo': '上半场', 'ltime': '无', 'number': '0'}
{'price': '100', 'code': 'A', 'systime': '10:30:01', 'bidinfo': '上半场', 'ltime': '无', 'number': '3'}
{'price': '100', 'code': 'A', 'systime': '10:30:01', 'bidinfo': '上半场', 'ltime': '无', 'number': '3'}
{'price': '100', 'code': 'A', 'systime': '10:30:02', 'bidinfo': '上半场', 'ltime': '无', 'number': '91'}
{'price': '100', 'code': 'A', 'systime': '10:30:02', 'bidinfo': '上半场', 'ltime': '无', 'number': '91'}
{'price': '100', 'code': 'A', 'systime': '10:30:03', 'bidinfo': '上半场', 'ltime': '无', 'number': '171'}
{'price': '100', 'code': 'A', 'systime': '10:30:03', 'bidinfo': '上半场', 'ltime': '无', 'number': '171'}
{'price': '100', 'code': 'A', 'systime': '10:30:04', 'bidinfo': '上半场', 'ltime': '无', 'number': '398'}
{'price': '100', 'code': 'A', 'systime': '10:30:04', 'bidinfo': '上半场', 'ltime': '无', 'number': '398'}
{'price': '100', 'code': 'A', 'systime': '10:30:05', 'bidinfo': '上半场', 'ltime': '无', 'number': '998'}
{'price': '100', 'code': 'A', 'systime': '10:30:05', 'bidinfo': '上半场', 'ltime': '无', 'number': '998'}
{'price': '100', 'code': 'A', 'systime': '10:30:06', 'bidinfo': '上半场', 'ltime': '无', 'number': '1612'}
{'price': '100', 'code': 'A', 'systime': '10:30:06', 'bidinfo': '上半场', 'ltime': '无', 'number': '1612'}
{'price': '100', 'code': 'A', 'systime': '10:30:07', 'bidinfo': '上半场', 'ltime': '无', 'number': '2495'}
{'price': '100', 'code': 'A', 'systime': '10:30:07', 'bidinfo': '上半场', 'ltime': '无', 'number': '2495'}
{'price': '100', 'code': 'A', 'systime': '10:30:08', 'bidinfo': '上半场', 'ltime': '无', 'number': '3448'}
{'price': '100', 'code': 'A', 'systime': '10:30:08', 'bidinfo': '上半场', 'ltime': '无', 'number': '3448'}
{'price': '100', 'code': 'A', 'systime': '10:30:09', 'bidinfo': '上半场', 'ltime': '无', 'number': '4359'}
{'price': '100', 'code': 'A', 'systime': '10:30:09', 'bidinfo': '上半场', 'ltime': '无', 'number': '4359'}
{'price': '100', 'code': 'A', 'systime': '10:30:10', 'bidinfo': '上半场', 'ltime': '无', 'number': '5454'}
{'price': '100', 'code': 'A', 'systime': '10:30:10', 'bidinfo': '上半场', 'ltime': '无', 'number': '5454'}
{'price': '100', 'code': 'A', 'systime': '10:30:11', 'bidinfo': '上半场', 'ltime': '无', 'number': '6504'}
{'price': '100', 'code': 'A', 'systime': '10:30:11', 'bidinfo': '上半场', 'ltime': '无', 'number': '6504'}
{'price': '100', 'code': 'A', 'systime': '10:30:12', 'bidinfo': '上半场', 'ltime': '10:30:11', 'number': '7410'}
{'price': '100', 'code': 'A', 'systime': '10:30:12', 'bidinfo': '上半场', 'ltime': '10:30:11', 'number': '7410'}
{'price': '72600', 'code': 'A', 'systime': '10:30:13', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '8374'}
{'price': '72600', 'code': 'A', 'systime': '10:30:13', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '8374'}
{'price': '72600', 'code': 'A', 'systime': '10:30:14', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '9210'}
{'price': '72600', 'code': 'A', 'systime': '10:30:14', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '9210'}
{'price': '72600', 'code': 'A', 'systime': '10:30:15', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '10034'}
{'price': '72600', 'code': 'A', 'systime': '10:30:15', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '10034'}
{'price': '72600', 'code': 'A', 'systime': '10:30:16', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '10758'}
{'price': '72600', 'code': 'A', 'systime': '10:30:16', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '10758'}
{'price': '72600', 'code': 'A', 'systime': '10:30:17', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '11364'}
{'price': '72600', 'code': 'A', 'systime': '10:30:17', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '11364'}
{'price': '72600', 'code': 'A', 'systime': '10:30:18', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '12065'}
{'price': '72600', 'code': 'A', 'systime': '10:30:18', 'bidinfo': '上半场', 'ltime': '10:30:13', 'number': '12065'}
