('2014-10-18 09:18:27.621322', 'redis reader connect succeed')
('2014-10-18 09:18:27.621744', 'redis writer connect succeed')
('2014-10-18 09:18:27.661177', 'redis timer connect succeed')
('2014-10-18 09:18:27.684018', 'worker [3] started')
('2014-10-18 09:18:27.684139', 'client 12 initted')
('2014-10-18 09:18:28.012914', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:28.177909', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:29.009843', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:29.180141', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:30.012753', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:30.181611', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:31.011088', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:31.183622', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:32.012709', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:32.185804', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:33.010489', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 09:18:33.187790', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.694121', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 50 tb0[1] 51 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.695030', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 50 tb0[1] 50 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.695774', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 49 tb0[1] 50 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.696813', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 49 tb0[1] 49 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.697976', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 48 tb0[1] 49 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.699335', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 48 tb0[1] 48 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.699976', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 47 tb0[1] 48 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.700585', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 47 tb0[1] 47 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.701174', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 46 tb0[1] 47 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.701800', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 46 tb0[1] 46 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.702737', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 46 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:02.715893', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:03.054260', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:03.060272', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:03.623942', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:03.632046', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:06.595676', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:06.597487', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:08.240588', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:08.241828', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:09.367156', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:09.369077', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.571298', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.572218', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.574138', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 42 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.575027', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 42 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.576773', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 41 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.581632', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 40 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.582428', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 40 tb0[1] 41 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:10.589583', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 40 tb0[1] 40 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.208848', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 39 tb0[1] 40 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.210029', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 39 tb0[1] 39 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.371186', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 38 tb0[1] 39 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.373229', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 38 tb0[1] 38 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.585152', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 37 tb0[1] 38 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.586067', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 37 tb0[1] 37 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.587836', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 36 tb0[1] 37 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.588963', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 36 tb0[1] 36 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.593450', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 35 tb0[1] 36 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.595191', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 34 tb0[1] 36 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.596699', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 34 tb0[1] 35 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:11.599002', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 34 tb0[1] 34 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.573569', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 34 tb0[1] 35 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.574615', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 34 tb0[1] 34 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.576153', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 33 tb0[1] 34 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.576974', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 33 tb0[1] 33 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.583778', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 32 tb0[1] 33 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.584622', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 32 tb0[1] 32 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.590974', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 31 tb0[1] 32 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:12.591573', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 31 tb0[1] 31 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.211586', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 30 tb0[1] 31 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.212591', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 30 tb0[1] 30 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.587666', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 29 tb0[1] 30 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.588952', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 29 tb0[1] 29 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.593256', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 28 tb0[1] 29 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.594263', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 28 tb0[1] 28 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.600021', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 27 tb0[1] 28 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.601208', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 27 tb0[1] 27 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.602897', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 26 tb0[1] 27 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:35:13.604292', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 26 tb0[1] 26 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:04.407235', 'redis reader connect succeed')
('2014-10-18 10:42:04.407464', 'redis writer connect succeed')
('2014-10-18 10:42:04.434706', 'redis timer connect succeed')
('2014-10-18 10:42:04.455741', 'worker [3] started')
('2014-10-18 10:42:04.455865', 'client 12 initted')
('2014-10-18 10:42:05.012398', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:05.450153', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:06.012863', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:06.452238', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:07.011420', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:07.453809', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:08.010373', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:08.455436', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:09.011287', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:09.457961', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:10.009584', 'fd_channel : login[0] 0 login[1] 1 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:42:10.459456', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.057568', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 50 tb0[1] 51 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.058794', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 50 tb0[1] 50 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.059837', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 49 tb0[1] 50 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.060879', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 49 tb0[1] 49 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.062054', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 48 tb0[1] 49 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.062572', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 48 tb0[1] 48 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.063166', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 47 tb0[1] 48 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.063763', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 47 tb0[1] 47 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.065027', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 46 tb0[1] 47 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.065899', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 46 tb0[1] 46 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.066723', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 46 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.079557', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 45 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.258917', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.274186', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.553748', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.898851', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-10-18 10:45:02.998593', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 42 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
