('2014-09-20 09:26:49.327644', 'redis reader connect succeed')
('2014-09-20 09:26:49.327835', 'redis writer connect succeed')
('2014-09-20 09:26:49.356442', 'redis timer connect succeed')
('2014-09-20 09:26:49.383899', 'worker [4] started')
('2014-09-20 09:26:49.384033', 'client 12 initted')
('2014-09-20 09:26:50.010542', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:50.377062', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:51.011886', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:51.380654', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:52.008405', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:52.382858', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:53.008356', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:53.384037', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:54.007673', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:54.385198', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:55.008339', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 09:26:55.386298', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2014-09-20 10:32:32.164220', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 45 , tb1[0] 0 tb1[1] 0')
('2014-09-20 10:32:32.165065', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 44 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-09-20 10:32:32.165648', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 44 , tb1[0] 0 tb1[1] 0')
('2014-09-20 10:32:32.166193', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 43 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-09-20 10:32:32.166737', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 42 tb0[1] 43 , tb1[0] 0 tb1[1] 0')
('2014-09-20 10:32:32.167321', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 42 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
('2014-09-20 10:32:32.167709', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 41 tb0[1] 42 , tb1[0] 0 tb1[1] 0')
