01_log_warning.log:('2014-11-15 11:30:09.268163', "client 52441842 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
01_log_warning.log:('2014-11-15 11:30:10.210846', "client 52428758 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
01_log_warning.log:('2014-11-15 11:30:15.640281', "client 52452699 bids finished. price : ['72600', '73500', None] . Quit.....")
01_log_warning.log:('2014-11-15 11:30:15.643760', "client 52492849 bids finished. price : ['72600', '73500', None] . Quit.....")
01_log_warning.log:('2014-11-15 11:30:15.837488', 'client 52479489 bids finished. price : [None, None, None] . Quit.....')
02_log_warning.log:('2014-11-15 11:30:08.629639', "client 52359768 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
02_log_warning.log:('2014-11-15 11:30:08.630028', "client 52263061 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
02_log_warning.log:('2014-11-15 11:30:08.634907', "client 52491714 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
02_log_warning.log:('2014-11-15 11:30:08.644247', "client 52354227 bids finished. price : ['72600', None, '73800'] . Quit.....")
02_log_warning.log:('2014-11-15 11:30:08.653592', "client 52545392 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
02_log_warning.log:('2014-11-15 11:30:08.671618', "client 52305335 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
02_log_warning.log:('2014-11-15 11:30:08.674976', "client 52528792 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
02_log_warning.log:('2014-11-15 11:30:09.209361', "client 52397865 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
02_log_warning.log:('2014-11-15 11:30:18.643367', "client 52482515 bids finished. price : ['72600', '73500', None] . Quit.....")
02_log_warning.log:('2014-11-15 11:30:18.664207', "client 52417916 bids finished. price : ['72600', '73500', None] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:11.191783', "client 52302113 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:11.197416', "client 52295537 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:11.197758', "client 52386766 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:11.203649', "client 52367593 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:11.214021', "client 52467747 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:11.230079', "client 52465095 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:11.230772', "client 52449659 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:11.239648', "client 52516803 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:12.670326', "client 52465930 bids finished. price : ['72600', '73500', None] . Quit.....")
03_log_warning.log:('2014-11-15 11:30:20.631474', "client 52435697 bids finished. price : ['72600', None, None] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:11.004986', "client 52409444 bids finished. price : ['72600', '73600', '73800'] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:11.250401', "client 52522469 bids finished. price : ['72600', '73600', '73800'] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:13.025650', "client 52265187 bids finished. price : ['72600', '73600', None] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:13.739330', "client 52298675 bids finished. price : ['72600', '73600', None] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:14.858451', "client 52537421 bids finished. price : ['72600', '73600', None] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:14.861830', "client 52439738 bids finished. price : ['72600', '73600', None] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:14.900914', "client 52549794 bids finished. price : ['72600', '73600', None] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:16.604641', "client 52521008 bids finished. price : ['72600', None, None] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:17.860856', "client 52303693 bids finished. price : ['72600', '73600', None] . Quit.....")
04_log_warning.log:('2014-11-15 11:30:21.612409', "client 52408298 bids finished. price : ['72600', '73600', None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:11.407353', "client 52324546 bids finished. price : ['72600', None, None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:12.353976', "client 52389328 bids finished. price : ['72600', '73700', None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:12.378630', "client 52371053 bids finished. price : ['72600', '73700', None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:12.378983', "client 52471543 bids finished. price : ['72600', '73700', None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:12.401993', "client 52546471 bids finished. price : ['72600', '73700', None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:12.417387', "client 52381914 bids finished. price : ['72600', '73700', None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:12.712723', "client 52403592 bids finished. price : ['72600', '73700', None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:15.975543', "client 52518651 bids finished. price : ['72600', None, None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:15.976025', "client 52452116 bids finished. price : ['72600', None, None] . Quit.....")
05_log_warning.log:('2014-11-15 11:30:19.769638', "client 52456563 bids finished. price : ['72600', None, None] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:09.322682', "client 52491338 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:09.360739', "client 52359380 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:09.482434', "client 52344781 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:09.510580', "client 52295550 bids finished. price : ['72600', '73500', '73700'] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:15.657074', "client 52342148 bids finished. price : ['72600', '73500', None] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:15.657369', "client 52468060 bids finished. price : ['72600', '73500', None] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:18.788299', "client 52365445 bids finished. price : ['72600', '73500', None] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:19.496670', "client 52475079 bids finished. price : ['72600', '73500', None] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:20.354027', "client 52332228 bids finished. price : ['72600', '73500', None] . Quit.....")
06_log_warning.log:('2014-11-15 11:30:21.852371', "client 52506384 bids finished. price : ['72600', '73500', None] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:09.634209', "client 52256456 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:09.654277', "client 52427163 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:09.654731', "client 52299109 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:09.666201', "client 52547044 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
07_log_warning.log:('2014-11-15 11:30:09.667950', "client 52506939 bids finished. price : ['72600', '73500', '73800'] . Quit.....")
