('2015-02-07 10:01:34.860412', 'worker [9] started')
('2015-02-07 10:01:34.860586', 'client 9 initted')
('2015-02-07 10:01:36.010189', 'put_channel : channel login, group 0, time 2015-02-07 10:01:36.010064')
('2015-02-07 10:01:36.011455', 'put_channel : channel login, group 1, time 2015-02-07 10:01:36.011367')
('2015-02-07 10:01:36.019339', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:36.053681', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:37.508548', 'put_channel : channel login, group 0, time 2015-02-07 10:01:37.508377')
('2015-02-07 10:01:37.513082', 'put_channel : channel login, group 1, time 2015-02-07 10:01:37.512995')
('2015-02-07 10:01:37.513823', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:37.556358', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:39.008409', 'put_channel : channel login, group 0, time 2015-02-07 10:01:39.008279')
('2015-02-07 10:01:39.012143', 'put_channel : channel login, group 1, time 2015-02-07 10:01:39.012058')
('2015-02-07 10:01:39.012986', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:39.058770', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:40.508526', 'put_channel : channel login, group 0, time 2015-02-07 10:01:40.508396')
('2015-02-07 10:01:40.508928', 'put_channel : channel login, group 1, time 2015-02-07 10:01:40.508882')
('2015-02-07 10:01:40.509255', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:40.561106', 'fd_channel : login[0] 0 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:01:42.008205', 'put_channel : channel login, group 0, time 2015-02-07 10:01:42.008078')
('2015-02-07 10:01:42.010211', 'put_channel : channel login, group 1, time 2015-02-07 10:01:42.010128')
('2015-02-07 10:01:42.010927', 'fd_channel : login[0] 1 login[1] 0 , tb0[0] 0 tb0[1] 0 , tb1[0] 0 tb1[1] 0')
('2015-02-07 10:32:31.510608', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:31.510398')
('2015-02-07 10:32:31.511327', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:31.511246')
('2015-02-07 10:32:33.008173', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:33.008039')
('2015-02-07 10:32:33.012057', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:33.011960')
('2015-02-07 10:32:34.510445', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:34.510285')
('2015-02-07 10:32:34.510836', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:34.510719')
('2015-02-07 10:32:36.008985', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:36.008852')
('2015-02-07 10:32:36.010317', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:36.010228')
('2015-02-07 10:32:37.508384', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:37.508251')
('2015-02-07 10:32:37.510964', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:37.510853')
('2015-02-07 10:32:39.008522', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:39.008332')
('2015-02-07 10:32:39.012496', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:39.012357')
('2015-02-07 10:32:40.510898', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:40.510763')
('2015-02-07 10:32:40.511627', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:40.511537')
('2015-02-07 10:32:42.008933', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:42.008797')
('2015-02-07 10:32:42.011488', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:42.011368')
('2015-02-07 10:32:43.508221', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:43.508087')
('2015-02-07 10:32:43.509708', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:43.509614')
('2015-02-07 10:32:45.010111', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:45.009976')
('2015-02-07 10:32:45.010772', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:45.010691')
('2015-02-07 10:32:46.507150', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:46.507051')
('2015-02-07 10:32:46.509548', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:46.509499')
('2015-02-07 10:32:48.009567', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:48.009435')
('2015-02-07 10:32:48.010412', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:48.010324')
('2015-02-07 10:32:49.510684', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:49.510538')
('2015-02-07 10:32:49.511241', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:49.511152')
('2015-02-07 10:32:51.008978', 'put_channel : channel tb0, group 0, time 2015-02-07 10:32:51.008844')
('2015-02-07 10:32:51.010224', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:51.010109')
('2015-02-07 10:32:52.510668', 'put_channel : channel tb0, group 1, time 2015-02-07 10:32:52.510535')
