log/01_log_warning.log:('2015-03-21 11:30:20.945796', "client 52275742 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.073995', "client 52591362 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.098759', "client 52553719 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.167025', "client 52737927 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:22.342772', "client 52504282 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:23.741955', "client 52704697 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:23.813470', "client 52508949 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:27.737642', "client 52490581 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:08.469399', "client 52745902 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.120681', "client 52723477 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.128758', "client 52500740 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.180119', "client 52564051 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:22.438102', "client 52454045 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:23.755675', "client 52477639 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:27.748250', "client 52770164 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:27.748587', 'client 52760920 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:21.201390', "client 52719103 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.428143', 'client 52787320 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:21.431787', "client 52509256 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:21.579045', 'client 52534659 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:22.073183', 'client 52740378 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:22.087868', "client 52543398 bids finished. price : ['73700', None, None] . Quit.....")
