log/01_log_warning.log:('2015-03-21 11:30:07.197319', "client 52703045 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:07.297551', "client 52594195 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:17.043652', "client 52788657 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:17.251595', "client 52727226 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.576878', "client 52466595 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:21.662005', "client 52756077 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:28.022131', "client 52780438 bids finished. price : ['73700', None, None] . Quit.....")
log/01_log_warning.log:('2015-03-21 11:30:28.025303', "client 52501350 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:07.519007', "client 52779785 bids finished. price : [None, None, '74900'] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:16.818355', "client 52710166 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.229191', "client 52523583 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.392459', "client 52578026 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:21.686505', "client 52526335 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:23.799843', 'client 52273826 bids finished. price : [None, None, None] . Quit.....')
log/02_log_warning.log:('2015-03-21 11:30:27.800117', "client 52489290 bids finished. price : ['73700', None, None] . Quit.....")
log/02_log_warning.log:('2015-03-21 11:30:27.805897', "client 52796124 bids finished. price : ['73700', None, None] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:07.215272', "client 52724133 bids finished. price : [None, None, '74900'] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:08.213493', "client 52780246 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:08.383969', "client 52728079 bids finished. price : ['73700', None, '74900'] . Quit.....")
log/03_log_warning.log:('2015-03-21 11:30:20.924421', 'client 52759726 bids finished. price : [None, None, None] . Quit.....')
log/03_log_warning.log:('2015-03-21 11:30:21.196699', 'client 52495055 bids finished. price : [None, None, None] . Quit.....')
